symbol,entry_time,exit_time,entry_price,exit_price,pnl,trade_type,exit_reason,,total amnt,tradable ammount,quantity bought,trade amount,absolute profit,exit amnt,charges
TECHM,20-08-2024 14:15,20-08-2024 14:30,1632.45,1627.55,-4.9,long,stop_loss,,5501.22359,5000,15,4897.35,-73.5,4823.85,26.886915
SBILIFE,20-08-2024 14:45,21-08-2024 09:50,1754.55,1769.55,15,long,take_profit,,5400.836675,5000,14,4912.74,210,5122.74,27.15867
SBILIFE,21-08-2024 10:00,21-08-2024 12:35,1779.45,1795.65,16.200000000000045,long,take_profit,,5583.678005,5000,14,4982.46,226.8,5209.26,27.553218
APOLLOHOSP,21-08-2024 12:40,21-08-2024 15:00,6750,6727,-23,long,stop_loss,,5782.924787,5000,3,4050,-69,3981,22.22946
NESTLEIND,21-08-2024 15:05,21-08-2024 15:25,2550.85,2551.85,1,long,market_close,,5691.695327,5000,9,4591.53,9,4600.53,25.259355
NESTLEIND,22-08-2024 09:15,22-08-2024 09:20,2550,2560,10,long,take_profit,,5675.435972,5000,9,4590,90,4680,25.3044
HDFCBANK,22-08-2024 09:25,22-08-2024 15:25,1632,1631.6,-0.4,long,market_close,,5740.131572,5000,15,4896,-6,4890,26.92404
TATACONSUM,23-08-2024 09:15,23-08-2024 10:00,1206,1202.1,-3.9,long,stop_loss,,5707.207532,5000,20,4824,-78,4746,26.48052
BAJAJ-AUTO,23-08-2024 10:05,23-08-2024 12:25,10190.95,10308,117.04999999999927,long,take_profit,,5602.727012,5000,2,4076.38,234.1,4310.48,22.574596
BAJAJ-AUTO,23-08-2024 12:35,26-08-2024 10:20,10364.95,10437,72.04999999999927,long,take_profit,,5814.252416,5000,2,4145.98,144.1,4290.08,22.897996
ITC,26-08-2024 10:25,26-08-2024 11:35,507.3,504.95,-2.35,long,stop_loss,,5935.45442,5000,49,4971.54,-115.15,4856.39,27.267471
NTPC,26-08-2024 11:40,26-08-2024 12:00,408,410.75,2.75,long,take_profit,,5793.036949,5000,61,4977.6,167.75,5145.35,27.487515
NTPC,26-08-2024 12:05,26-08-2024 13:20,412.1,414.45,2.349999999999966,long,take_profit,,5933.299434,5000,60,4945.2,141,5086.2,27.29166
NTPC,26-08-2024 13:25,26-08-2024 14:30,414.05,413.25,-0.8,long,stop_loss,,6047.007774,5000,60,4968.6,-48,4920.6,27.29562
HINDALCO,26-08-2024 14:35,27-08-2024 09:55,712.35,710.35,-2,long,stop_loss,,5971.712154,5000,35,4986.45,-70,4916.45,27.379275
CIPLA,27-08-2024 10:00,27-08-2024 11:50,1610.6,1605.45,-5.15,long,stop_loss,,5874.332879,5000,15,4831.8,-77.25,4754.55,26.523915
SBILIFE,27-08-2024 11:55,27-08-2024 13:55,1832.2,1847,14.799999999999955,long,take_profit,,5770.558964,5000,13,4763.72,192.4,4956.12,26.327444
DRREDDY,27-08-2024 14:05,28-08-2024 09:20,6991,6948.65,-42.35,long,stop_loss,,5936.63152,5000,3,4194.6,-127.05,4067.55,22.986447
BAJFINANCE,28-08-2024 09:25,28-08-2024 10:30,6877.75,6860,-17.75,long,stop_loss,,5786.595073,5000,3,4126.65,-53.25,4073.4,22.66143
INFY,28-08-2024 10:40,28-08-2024 11:35,1928.3,1941.45,13.150000000000091,long,take_profit,,5710.683643,5000,12,4627.92,157.8,4785.72,25.557708
BAJAJ-AUTO,28-08-2024 11:40,29-08-2024 09:45,10651.55,10751,99.45000000000073,long,take_profit,,5842.925935,5000,2,4260.62,198.9,4459.52,23.564684
BAJAJFINSV,29-08-2024 09:50,29-08-2024 10:00,1745,1757.55,12.549999999999955,long,take_profit,,6018.261251,5000,14,4886,175.7,5061.7,26.988962
